checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_27_y1792_x2048,train,0.908062,0.958892,0.932785
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_28_y0000_x1280,train,0.941407,0.893036,0.916584
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_29_y0512_x1024,test,0.788215,0.945859,0.859871
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_29_y0768_x0512,train,0.885462,0.931146,0.907729
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_29_y0768_x0768,val,0.820180,0.913713,0.864424
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_29_y1536_x0000,train,0.907817,0.894429,0.901073
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_31_y0512_x0768,train,0.944224,0.957641,0.950885
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,YOU_33_y2048_x1024,train,0.869117,0.901420,0.884974
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y0000_x1024,train,0.954133,0.915402,0.934366
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y0256_x0000,train,0.832058,0.912659,0.870497
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y0256_x1536,train,0.942563,0.883620,0.912140
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y0768_x0512,test,0.689829,0.994094,0.814473
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1024_x0256,train,0.926089,0.914410,0.920212
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1024_x1024,train,0.991527,0.776507,0.870942
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1024_x1280,val,0.895274,0.908150,0.901666
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1024_x1792,train,0.951754,0.888908,0.919258
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1280_x0512,test,0.926912,0.935719,0.931295
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_26_y1792_x1792,val,0.876600,0.938446,0.906469
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y0512_x1024,train,0.963148,0.856132,0.906492
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y0512_x1280,train,0.865656,0.943868,0.903072
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y0512_x1792,train,0.902380,0.949887,0.925525
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y0768_x0512,train,0.854765,0.968140,0.907927
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y1024_x0512,val,0.970735,0.831520,0.895750
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y1024_x1792,train,0.731074,0.959924,0.830014
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y1536_x1792,train,0.881633,0.899489,0.890471
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_27_y1792_x2048,train,0.735149,0.952478,0.829820
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_28_y0000_x1280,train,0.911471,0.810147,0.857827
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_29_y0512_x1024,test,0.831224,0.955152,0.888889
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_29_y0768_x0512,train,0.894747,0.907815,0.901233
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_29_y0768_x0768,val,0.836463,0.924440,0.878254
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_29_y1536_x0000,train,0.845588,0.888343,0.866438
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_31_y0512_x0768,train,0.913078,0.926542,0.919760
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,YOU_33_y2048_x1024,train,0.808060,0.809220,0.808640
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y0000_x1024,train,0.962368,0.920348,0.940889
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y0256_x0000,train,0.883009,0.916062,0.899232
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y0256_x1536,train,0.947126,0.893444,0.919502
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y0768_x0512,test,0.661759,0.989530,0.793115
